store_number,store_name,city,county_number,county,id_product,category_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars
1001,HY-VEE WINE & SPIRITS #2 / DAVENPORT,DAVENPORT,101,SCOTT,a123,100% AGAVE TEQUILA,80011,1800 SILVER,6,1000,18,27,18,486
1002,GIRI'S LIQUOR STORE / WEST LIBERTY,WEST LIBERTY,102,MUSCATINE,a124,100% AGAVE TEQUILA,80012,CORRALEJO REPOSADO,6,750,16,24,24,576
1003,NORTHSIDE LIQUOR,MASON CITY,103,CERRO GORDO,a125,100% AGAVE TEQUILA,80013,DON JULIO ANEJO,6,750,"34,49","51,74",24,"1241,76"
1004,HY-VEE WINE AND SPIRITS / IOWA CITY,IOWA CITY,104,JOHNSON,a126,100% AGAVE TEQUILA,80014,DON JULIO BLANCO,6,750,"29,5","44,25",24,1062
1005,HY-VEE FOOD STORE #4 / SIOUX CITY,SIOUX CITY,105,WOODBURY,a127,100% AGAVE TEQUILA,80015,ESPOLON BLANCO,12,750,15,"22,5",24,540
1007,HY-VEE WINE AND SPIRITS / ANKENY,ANKENY,106,POLK,a128,100% AGAVE TEQUILA,80016,ESPOLON REPOSADO,12,750,14,21,24,504
1009,HY-VEE  #2 / AMES,AMES,107,STORY,a129,100% AGAVE TEQUILA,80017,EXOTICO REPOSADO,12,750,"11,5","17,25",24,414
1011,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,COUNCIL BLUFFS,108,POTTAWATTAMIE,a130,100% AGAVE TEQUILA,80018,HORNITOS LIME SHOT,12,750,"13,5","20,25",24,486
1015,WILKIE LIQUORS,MOUNT VERNON,109,LINN,a131,100% AGAVE TEQUILA,80019,JOSE CUERVO TRADICIONAL REPOSADO,12,750,"15,98","23,97",24,"575,28"
1019,SYCAMORE CONVENIENCE,WATERLOO,110,BLACK HAWK,a132,100% AGAVE TEQUILA,80020,PATRON SILVER,12,750,"27,5","41,25",24,990
1030,HY-VEE WINE AND SPIRITS / STORM LAKE,STORM LAKE,113,BUENA VISTA,b123,AGED DARK RUM,80021,CRUZAN DARK,12,750,7,"10,5",24,252
1032,BARNES FOOD LAND,DEWITT,114,CLINTON,c123,AMERICAN BRANDIES,80022,CHRISTIAN BROS BRANDY,12,750,"5,92","8,88",24,"213,12"
1035,LIQUOR TOBACCO & GROCERY / FORT DODGE,FORT DODGE,116,WEBSTER,c124,AMERICAN BRANDIES,80023,E & J APPLE,12,750,"6,5","9,75",24,234
1041,HY-VEE / WAVERLY,WAVERLY,117,BREMER,c125,AMERICAN BRANDIES,80024,MR BOSTON APRICOT BRANDY,12,750,"4,17","6,26",24,"150,24"
1058,OKOBOJI AVENUE LIQUOR,MILFORD,118,DICKINSON,d123,AMERICAN CORDIALS & LIQUEURS,80025,RUMCHATA LIMON,12,750,13,"19,5",24,468
1059,FAREWAY STORES #827 / CENTERVILLE,CENTERVILLE,119,APPANOOSE,d124,AMERICAN CORDIALS & LIQUEURS,80026,WILD TURKEY AMERICAN HONEY,12,750,"10,5","15,75",24,378
1061,CASEY'S GENERAL STORE # 1799/ OSAGE,OSAGE,120,MITCHELL,e123,AMERICAN DISTILLED SPIRITS SPECIALTY,80027,SIR WINSTON PEACH,6,750,"13,01","19,52",24,"468,48"
1087,QUIK STOP  /  BURLINGTON,BURLINGTON,121,DES MOINES,f123,AMERICAN FLAVORED VODKA,80028,NEW AMSTERDAM GRAPEFRUIT,12,750,"7,5","11,25",24,270
1093,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,WEST DES MOINES,122,DALLAS,f124,AMERICAN FLAVORED VODKA,80029,NEW AMSTERDAM PINEAPPLE,12,750,"7,5","11,25",24,270
1105,HY-VEE FOOD STORE #1 / NEWTON,NEWTON,123,JASPER,f125,AMERICAN FLAVORED VODKA,80030,SMIRNOFF CITRUS,12,750,"8,25","12,38",24,"297,12"
1106,FAREWAY STORES #888 / JEFFERSON,JEFFERSON,124,GREENE,f126,AMERICAN FLAVORED VODKA,80031,SMIRNOFF KISSED CARAMEL,12,375,"4,75","7,13",48,"342,24"
1116,FAREWAY STORES #077 / NORWALK,NORWALK,125,WARREN,f127,AMERICAN FLAVORED VODKA,80032,SMIRNOFF VANILLA,12,750,"8,25","12,38",24,"297,12"
1124,HY-VEE WINE AND SPIRITS / LE MARS,LE MARS,126,PLYMOUTH,f128,AMERICAN FLAVORED VODKA,80033,WESTERN SON BLUEBERRY,12,750,"9,01","13,52",24,"324,48"
1130,D&T'S / ODEBOLT,ODEBOLT,127,SAC,g123,AMERICAN SCHNAPPS,80034,DEKUYPER HOT DAMN! PET,12,750,"6,5","9,75",24,234
1131,HY-VEE FOOD STORE / MOUNT PLEASANT,MOUNT PLEASANT,128,HENRY,g124,AMERICAN SCHNAPPS,80035,DEKUYPER LUSCIOUS PEACHTREE,12,750,"6,5","9,75",24,234
1135,KEOKUK SPIRITS,KEOKUK,129,LEE,g125,AMERICAN SCHNAPPS,80036,ICE HOLE MINT SCHNAPPS,12,750,"5,15","7,73",24,"185,52"
